ID,HH_ID,HH_WEIGHT,HH_GEO_ACC,H_STATE,H_COUNTY,H_CPA,H_MCD,H_TRACT,H_TAZ,A_TYPE,HH_TOT_TRIPS,HH_MO_TRIPS,HH_NM_TRIPS,GPS_Factor,F_HH_TOT_TRIPS,F_HH_MO_TRIPS,F_HH_NM_TRIPS,HH_SIZE,HH_WORK,TOT_VEH,OP_VEH,VEH_OUT,TOT_BIKE,TOLL_ACCNT,CAR_SHARE,RES_TYPE,INCOME,TRAV_DATE,TRAV_DOW,HOLIDAY,HOL_TYPE,OV_SAMPLE,STUDY,RECRUIT,RETRIEVE,R_LANG,SURV_LANG
1,100140,133.4603238,1,34,34005,005_702,3400543740,34005700405,20225,4,8,8,0,1.12,8.96,8.96,0,2,2,2,2,20,1,1,2,1,6,8/3/2012,5,,0,1,1,1,3,1,1
2,100206,204.1061668,1,34,34005,005_702,3400547880,34005700501,20249,4,11,5,6,1.17,12.87,5.85,7.02,3,2,2,2,9000,3,1,2,1,5,8/2/2012,4,,0,0,1,1,3,1,1
3,100291,287.9105489,1,34,34005,005_701,3400517440,34005700603,20048,4,9,9,0,1.12,10.08,10.08,0,5,2,2,2,11,7,1,2,1,7,7/31/2012,2,,0,0,1,1,3,1,1
4,100355,222.444138,1,34,34005,005_701,3400517080,34005700800,20042,4,5,4,1,1.17,5.85,4.68,1.17,1,1,1,1,9000,0,2,2,1,4,8/8/2012,3,,0,0,1,1,2,1,1
5,100374,365.1464578,1,34,34005,005_701,3400505740,34005700900,20002,4,24,24,0,1.17,28.08,28.08,0,4,1,2,2,3,4,1,2,1,5,8/2/2012,4,,0,1,1,1,3,1,1
6,100449,74.05932048,1,34,34005,005_701,3400508950,34005701104,20020,4,9,9,0,1.17,10.53,10.53,0,2,0,2,2,20,0,1,2,1,5,7/30/2012,1,,0,0,1,1,3,1,1
7,100503,165.0079871,1,34,34005,005_701,3400508920,34005701204,20026,4,9,7,2,1.12,10.08,7.84,2.24,2,1,2,2,50,2,1,2,2,6,8/8/2012,3,,0,1,1,1,2,1,1
8,100601,302.3003829,1,34,34005,005_701,3400506700,34005701502,20011,5,18,16,2,1.12,20.16,17.92,2.24,4,2,2,2,15,4,1,2,1,7,7/30/2012,1,,0,0,1,1,3,1,1
9,100663,95.13184704,1,34,34005,005_704,3400557510,34005702207,20637,5,4,4,0,1.13,4.52,4.52,0,1,0,1,1,1,0,2,2,1,99,7/31/2012,2,,0,0,1,1,3,1,1
10,100677,287.3121743,1,34,34005,005_704,3400557510,34005702208,20629,5,5,5,0,1.17,5.85,5.85,0,2,2,1,1,30,0,2,2,1,4,7/30/2012,1,,0,0,1,1,2,1,1
11,100702,79.63475003,1,34,34005,005_704,3400557510,34005702209,20643,5,6,6,0,1.12,6.72,6.72,0,2,1,2,2,10,0,1,2,1,7,7/31/2012,2,,0,0,1,1,3,1,1
