ID,HH_ID,PERSON_NUM,PERSON_ID,HH_WEIGHT,P_WEIGHT,P_TOT_TRIPS,P_MO_TRIPS,P_NM_TRIPS,GPS_Factor,F_P_TOT_TRIPS,F_P_MO_TRIPS,F_P_NM_TRIPS,GEND,AGECAT,RACE,EDUCA,RELAT,LIC,EMPLY,WK_STAT,SEMPLY,JOBS,WK_LOC,W_GEO_ACC,W_STATE,W_REGION,W_COUNTY,W_CPA,W_MCD,W_TRACT,W_TAZ,HOURS,OCCUP,WK_MODE,WK_MODETMS,ARRV_WRK,ARRV_TMS,LV_WRK,LV_TMS,TCOMM,PARK_SUB,PARK_SUB_AMT,TRAN_SUB,TRAN_SUB_AMT,WDAY_1,WDAY_2,WDAY_3,WDAY_4,WDAY_5,WDAY_6,WDAY_7,STUDE,SCHOL,S_HOME,S_ONLN,S_GEO_ACC,S_STATE,S_REGION,S_COUNTY,S_CPA,S_MCD,S_TRACT,S_TAZ,PRESCH_1,PRESCH_2,PRESCH_3,T_TRIP,PAY_TYPE1,PAY_TYPE2,PAY_TYPE3,TAP
279,100140,1,10014001,133.4603238,132.5430702,5,5,0,1.12,5.6,5.6,0,2,10,988,6,0,1,1,,2,1,2,1,34,1,34005,005_702,3400543740,34005700405,20225,20,31,,,,,,,,,,,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
280,100140,2,10014002,133.4603238,115.1988106,3,3,0,1.12,3.36,3.36,0,2,9,988,4,1,1,1,,2,1,1,1,42,1,42101,101_115,4210160000,42101028200,2615,37,31,1,10,2,6,3,6,0,2,,2,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
281,100206,1,10020601,204.1061668,281.143358,6,2,4,1.17,7.02,2.34,4.68,1,8,988,5,0,1,1,,2,1,1,1,42,1,42101,101_103,4210160000,42101000300,113,40,15,3,10,7,6,6,7,0,2,,2,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,10,9,,,
282,100206,2,10020602,204.1061668,297.0980698,3,3,0,1.17,3.51,3.51,0,2,8,988,5,1,1,1,,1,1,2,1,34,1,34005,005_702,3400547880,34005700501,20249,50,51,,,,,,,,,,,,1,2,3,4,,,,3,,,,,,,,,,,,,,,0,,,,
283,100206,3,10020603,204.1061668,294.6156843,2,0,2,1.17,2.34,0,2.34,1,5,988,2,2,2,1,,2,1,1,1,34,1,34005,005_703,3400529010,34005703000,20407,20,41,6,10,9,,9,,0,3,,2,,1,2,5,6,,,,3,,,,,,,,,,,,,,,0,,,,
284,100291,1,10029101,287.9105489,661.7183033,5,5,0,1.12,5.6,5.6,0,1,6,988,5,0,1,1,,2,1,1,1,34,1,34005,005_702,3400549020,34005702906,20270,40,17,1,5,9,,3,8,0,3,,2,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
285,100291,2,10029102,287.9105489,288.8649292,1,1,0,1.12,1.12,1.12,0,2,6,988,5,1,1,1,,2,1,1,1,42,1,42101,101_110,4210160000,42101036900,1025,24,29,1,10,8,10,8,10,0,1,5,2,,1,2,3,4,,,,3,,,,,,,,,,,,,,,0,,,,
286,100291,3,10029103,287.9105489,363.6944095,2,2,0,1.12,2.24,2.24,0,1,1,988,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
287,100291,4,10029104,287.9105489,141.8811663,1,1,0,1.12,1.12,1.12,0,2,1,988,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
288,100291,5,10029105,287.9105489,363.6944095,0,0,0,1.12,0,0,0,1,1,988,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
