ID,HH_ID,HH_WEIGHT,TOT_VEH,OP_VEH,VEH_NUM,VEH_ID,VEH_OWN,YEAR,MAKE,MODEL,BODY,VEH_TYPE
79,100140,133.4603238,2,2,1,10014001,1,2009,15,SONATA,1,2
80,100140,133.4603238,2,2,2,10014002,1,2010,8,GRAND CARAVAN,8,2
81,100206,204.1061668,2,2,1,10020601,1,1999,14,CRV,2,2
82,100206,204.1061668,2,2,2,10020602,1,2009,37,FORRESTER,2,2
83,100291,287.9105489,2,2,1,10029101,2,2010,39,PRIUS,1,1
84,100291,287.9105489,2,2,2,10029102,2,2011,39,SEIANNA,8,2
85,100355,222.444138,1,1,1,10035501,1,2012,14,FIT,6,2
86,100374,365.1464578,2,2,1,10037401,1,2004,25,MONTERY,8,2
87,100374,365.1464578,2,2,2,10037402,1,2007,10,EXPLOYER,3,2
88,100449,74.05932048,2,2,1,10044901,1,2007,10,F-150,3,2
89,100449,74.05932048,2,2,2,10044902,1,2002,36,Vue,2,2
90,100503,165.0079871,2,2,1,10050301,1,2009,40,RABBIT,1,2
91,100503,165.0079871,2,2,2,10050302,1,2008,29,,7,2
92,100601,302.3003829,2,2,1,10060101,1,2003,10,F350,3,3
93,100601,302.3003829,2,2,2,10060102,1,2003,14,ODYSSEY,9,2
94,100663,95.13184704,1,1,1,10066301,1,2002,39,CAMRY,1,2
95,100677,287.3121743,1,1,1,10067701,1,2004,10,Taurus,1,2
96,100702,79.63475003,2,2,1,10070201,1,2011,10,FIESTA,1,2
97,100702,79.63475003,2,2,2,10070202,1,2007,10,150,3,2
98,101057,202.6155458,1,1,1,10105701,1,2006,14,ridgeline,10,2
99,101096,277.1568938,4,4,1,10109601,1,2012,29,NISSAN ALTIMA,1,2
100,101096,277.1568938,4,4,2,10109602,1,2006,8,RAM,3,2
101,101096,277.1568938,4,4,3,10109603,1,9998,98,,12,2
102,101096,277.1568938,4,4,4,10109604,1,9998,98,,12,2
103,101113,86.80244895,1,1,1,10111301,1,2002,12,Sierra,3,2
104,101162,97.40579057,1,1,1,10116201,1,9999,99,,1,2
1,101175,138.376508,1,1,1,10117501,1,2003,39,four-runner,2,2
2,101182,67.10971462,2,2,1,10118201,1,2000,23,LINCLON CONTINENTAL,1,2
3,101182,67.10971462,2,2,2,10118202,1,2006,101,SCION XB,2,2
4,101191,72.40040419,3,3,1,10119101,1,2005,39,Tacoma,3,2
5,101191,72.40040419,3,3,2,10119102,1,1999,39,4 runner,2,2
6,101191,72.40040419,3,3,3,10119103,1,2002,13,sportster,12,2
7,101256,246.4251746,2,2,1,10125601,1,2006,36,VU,2,2
8,101256,246.4251746,2,2,2,10125602,1,2006,36,PRIUS,1,1
9,101258,137.2382903,1,1,1,10125801,1,2007,26,S5 50,1,2
10,101297,66.08237697,2,2,1,10129701,2,2012,37,legacy,1,2
11,101297,66.08237697,2,2,2,10129702,1,2001,39,highlander,2,2
12,101973,182.2259647,3,3,1,10197301,1,2002,41,s80,1,2
13,101973,182.2259647,3,3,2,10197302,1,2012,28,sport,4,2
14,101973,182.2259647,3,3,3,10197303,1,1995,10,,1,2
15,101983,112.1650237,2,2,1,10198301,1,2008,29,QUEST,8,2
16,101983,112.1650237,2,2,2,10198302,1,2010,39,PRIUS,1,1
17,102040,108.9402268,1,1,1,10204001,1,2000,41,s80,1,2
20,102082,109.9486111,2,2,1,10208201,1,2002,4,century,1,2
21,102082,109.9486111,2,2,2,10208202,1,2007,25,grand marquee,1,2
22,102146,196.4245309,1,1,1,10214601,1,1998,29,maxxama,1,2
23,102155,173.3830627,1,1,1,10215501,1,2003,40,jetta,1,2
24,102212,100.6578357,1,1,1,10221201,1,2010,7,TOWN AND COUNTRY,8,2
25,102239,375.700167,2,2,1,10223901,1,2004,37,forrester,7,2
26,102239,375.700167,2,2,2,10223902,1,2004,37,forrester,7,2
27,102372,209.1398699,2,2,1,10237201,1,2005,37,OUTBACK,7,2
28,102372,209.1398699,2,2,2,10237202,1,2010,37,LEGACY,1,2
29,102586,85.09046316,2,2,1,10258601,1,2006,1,RL,1,2
30,102586,85.09046316,2,2,2,10258602,1,1996,1,RL,1,2
31,102600,112.1396828,3,3,1,10260001,1,2011,6,Equinox,2,2
32,102600,112.1396828,3,3,2,10260002,1,2009,15,Genesis,1,2
33,102600,112.1396828,3,3,3,10260003,1,2012,13,Ultra-Limited,12,2
34,102638,292.9477281,2,2,1,10263801,1,2007,37,FORESTER,2,2
35,102638,292.9477281,2,2,2,10263802,1,2007,2,A4,1,2
36,102718,721.1989195,3,3,1,10271801,1,2003,6,TRAILBLAZER,2,2
37,102718,721.1989195,3,3,2,10271802,1,2000,15,SONATA,1,2
38,102718,721.1989195,3,3,3,10271803,3,2008,10,E150,9,2
39,102979,107.5259303,1,1,1,10297901,1,2003,29,altima,1,2
40,103024,206.8836439,4,4,1,10302401,1,2005,4,LESABER,1,2
41,103024,206.8836439,4,4,2,10302402,1,1993,30,CUTLASS,1,2
42,103024,206.8836439,4,4,3,10302403,1,1987,6,SUBURBAN,2,2
43,103024,206.8836439,4,4,4,10302404,2,2011,12,ACADIA,2,2
44,103087,197.4337306,2,2,1,10308701,2,2011,29,pathfinder,2,2
45,103087,197.4337306,2,2,2,10308702,2,2010,29,ultima,1,2
46,103105,330.8960671,2,2,1,10310501,1,2005,1,TL,1,2
47,103105,330.8960671,2,2,2,10310502,1,2008,39,TUNDRA,3,2
48,103132,255.6560947,2,2,1,10313201,1,2007,29,altima,1,2
49,103132,255.6560947,2,2,2,10313202,1,2004,6,SUBURBAN,3,2
